FID,geom,id,descricao,tipo,extensao,fonte,ano_ref,datum_codf,data_criac
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-589d,"MULTILINESTRING ((-38.47178580405012 -3.733502714590358, -38.471445028805014 -3.7344624262096366))",34,Galeria,Drenagem geral,112.673,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-589c,"MULTILINESTRING ((-38.477013599853144 -3.7503529870820143, -38.478865675511656 -3.749811198337091, -38.47927690975503 -3.7501310597108377))",35,Galeria,Drenagem geral,272.053,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-589a,"MULTILINESTRING ((-38.533636922931166 -3.7701616755084846, -38.53215161130921 -3.7706182010510263))",36,Galeria,Drenagem geral,172.539,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5898,"MULTILINESTRING ((-38.56202833355378 -3.72665421685033, -38.56449649370552 -3.727108248173735))",37,Galeria,Drenagem geral,278.736,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5897,"MULTILINESTRING ((-38.53246109247173 -3.7283877872340008, -38.531218703076036 -3.7246226127435107, -38.530209508770746 -3.721665240653227, -38.529317129750176 -3.722017685888487, -38.52912967540975 -3.7213117393466453))",38,Galeria,Drenagem geral,971.642,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5895,"MULTILINESTRING ((-38.52882337102555 -3.7208111596294633, -38.5284017425288 -3.7189522068224554))",39,Galeria,Drenagem geral,210.829,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5894,"MULTILINESTRING ((-38.56860254602687 -3.702565316283878, -38.5684151460628 -3.7019286287583695))",40,Galeria,Drenagem geral,73.418,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5892,"MULTILINESTRING ((-38.608371226853606 -3.781115452705426, -38.60964335675039 -3.780754700016828))",41,Galeria,Drenagem geral,146.83,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5890,"MULTILINESTRING ((-38.609741428710436 -3.780744291314639, -38.60964335675039 -3.780754700016828))",42,Galeria,Drenagem geral,10.954,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-588f,"MULTILINESTRING ((-38.60974142871042 -3.780744291314623, -38.61126070317449 -3.780327038985659))",43,Galeria,Drenagem geral,174.953,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
